Full name,Identifier,FSF Free/Libre?,OSI Approved?
BSD Zero Clause License,0BSD,,Y
Attribution Assurance License,AAL,,Y
Abstyles License,Abstyles,,
Adobe Systems Incorporated Source Code License Agreement,Adobe-2006,,
Adobe Glyph List License,Adobe-Glyph,,
Amazon Digital Services License,ADSL,,
Academic Free License v1.1,AFL-1.1,Y,Y
Academic Free License v1.2,AFL-1.2,Y,Y
Academic Free License v2.0,AFL-2.0,Y,Y
Academic Free License v2.1,AFL-2.1,Y,Y
Academic Free License v3.0,AFL-3.0,Y,Y
Afmparse License,Afmparse,,
Affero General Public License v1.0 only,AGPL-1.0-only,,
Affero General Public License v1.0 or later,AGPL-1.0-or-later,,
GNU Affero General Public License v3.0 only,AGPL-3.0-only,Y,Y
GNU Affero General Public License v3.0 or later,AGPL-3.0-or-later,Y,Y
Aladdin Free Public License,Aladdin,,
AMD's plpa_map.c License,AMDPLPA,,
Apple MIT License,AML,,
Academy of Motion Picture Arts and Sciences BSD,AMPAS,,
ANTLR Software Rights Notice,ANTLR-PD,,
ANTLR Software Rights Notice with license fallback,ANTLR-PD-fallback,,
Apache License 1.0,Apache-1.0,Y,
Apache License 1.1,Apache-1.1,Y,Y
Apache License 2.0,Apache-2.0,Y,Y
Adobe Postscript AFM License,APAFML,,
Adaptive Public License 1.0,APL-1.0,,Y
Apple Public Source License 1.0,APSL-1.0,,Y
Apple Public Source License 1.1,APSL-1.1,,Y
Apple Public Source License 1.2,APSL-1.2,,Y
Apple Public Source License 2.0,APSL-2.0,Y,Y
Artistic License 1.0,Artistic-1.0,,Y
Artistic License 1.0 w/clause 8,Artistic-1.0-cl8,,Y
Artistic License 1.0 (Perl),Artistic-1.0-Perl,,Y
Artistic License 2.0,Artistic-2.0,Y,Y
Bahyph License,Bahyph,,
Barr License,Barr,,
Beerware License,Beerware,,
BitTorrent Open Source License v1.0,BitTorrent-1.0,,
BitTorrent Open Source License v1.1,BitTorrent-1.1,Y,
SQLite Blessing,blessing,,
Blue Oak Model License 1.0.0,BlueOak-1.0.0,,
Borceux license,Borceux,,
BSD 1-Clause License,BSD-1-Clause,,Y
"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,,Y
BSD-2-Clause Plus Patent License,BSD-2-Clause-Patent,,Y
BSD 2-Clause with views sentence,BSD-2-Clause-Views,,
"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,Y,Y
BSD with attribution,BSD-3-Clause-Attribution,,
BSD 3-Clause Clear License,BSD-3-Clause-Clear,Y,
Lawrence Berkeley National Labs BSD variant license,BSD-3-Clause-LBNL,,Y
BSD 3-Clause Modification,BSD-3-Clause-Modification,,
BSD 3-Clause No Military License,BSD-3-Clause-No-Military-License,,
BSD 3-Clause No Nuclear License,BSD-3-Clause-No-Nuclear-License,,
BSD 3-Clause No Nuclear License 2014,BSD-3-Clause-No-Nuclear-License-2014,,
BSD 3-Clause No Nuclear Warranty,BSD-3-Clause-No-Nuclear-Warranty,,
BSD 3-Clause Open MPI variant,BSD-3-Clause-Open-MPI,,
"BSD 4-Clause ""Original"" or ""Old"" License",BSD-4-Clause,Y,
BSD 4 Clause Shortened,BSD-4-Clause-Shortened,,
BSD-4-Clause (University of California-Specific),BSD-4-Clause-UC,,
BSD Protection License,BSD-Protection,,
BSD Source Code Attribution,BSD-Source-Code,,
Boost Software License 1.0,BSL-1.0,Y,Y
