License,LGPL-3.0,LGPL-3.0-or-later,AGPL-3.0-or-later,GPL-2.0-with-classpath-exception,GPL-2.0-or-later,Apache-2.0,GPL-3.0,GPL-3.0-only,GPL-3.0-or-later,BSD-3-Clause,MIT,Public Domain
LGPL-3.0,-,TBD,TBD,TBD,TBD,0,TBD,TBD,TBD,0,0,0
LGPL-3.0-or-later,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
AGPL-3.0-or-later,NS,NS,-,NS,NS,NS,NS,NS,NS,NS,NS,NS
GPL-2.0-with-classpath-exception,TBD,TBD,TBD,-,1,1,1,1,NS,1,1,1
GPL-2.0-or-later,NS,NS,NS,NS,-,NS,NS,NS,NS,NS,NS,NS
Apache-2.0,1,1,1,TBD,0,-,1,1,NS,0-Doubt,0-Doubt,0
GPL-3.0,TBD,TBD,TBD,TBD,1,0,-,-,NS,0,0,0
GPL-3.0-only,TBD,TBD,TBD,TBD,1,0,-,-,NS,0,0,0
GPL-3.0-or-later,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
BSD-3-Clause,1,1,1,TBD,1,1,1,1,NS,-,?,0
MIT,1,1,1,TBD,1,1,1,1,NS,?,-,0
Public Domain,1,1,1,TBD,1,1,1,1,NS,1,1,-
