Scancode,SPDX-ID
3DFX GLIDE,Glide
3dfx Glide License,Glide
Abstyles License,Abstyles
Academic Free License 3.0,AFL-3.0
Academic Free License v1.1,AFL-1.1
Academic Free License v1.2,AFL-1.2
Academic Free License v2.0,AFL-2.0
Academic Free License v2.1,AFL-2.1
Academic Free License v3.0,AFL-3.0
Academic Free License Version 2.1,AFL-2.1
"Academic Free License, Version 3.0",AFL-3.0
Academy of Motion Picture Arts and Sciences BSD,AMPAS
ACE TAO License,DOC
Adaptive Public License 1.0,APL-1.0
"Adaptive Public License, Version 1.0",APL-1.0
Adobe Glyph License,Adobe-Glyph
Adobe Glyph List License,Adobe-Glyph
Adobe Postscript AFM License,APAFML
Adobe Source Code License 2006,Adobe-2006
Adobe Systems Incorporated Source Code License Agreement,Adobe-2006
Affero General Public License 1.0,AGPL-1.0-only
Affero General Public License 3.0,AGPL-3.0-only
Affero General Public License 3.0 or later,AGPL-3.0-or-later
Affero General Public License v1.0 only,AGPL-1.0-only
Affero General Public License v1.0 or later,AGPL-1.0-or-later
Affero General Public License (v. 1),AGPL-1.0-only
AFL 1.1,AFL-1.1
AFL 1.2,AFL-1.2
AFL 2.0,AFL-2.0
AFL 2.1,AFL-2.1
AFL 3.0,AFL-3.0
afmparse License,Afmparse
Afmparse License,Afmparse
AGPL 1.0,AGPL-1.0-only
AGPL-1.0,AGPL-1.0-only
AGPL 1.0 or later,AGPL-1.0-or-later
agpl-3.0,AGPL-3.0-only
AGPL 3.0,AGPL-3.0-only,
AGPL-3.0,AGPL-3.0-only,
AGPL3.0,AGPL-3.0-only
AGPL-3.0+,AGPL-3.0-or-later
AGPL3.0+,AGPL-3.0-or-later
#AGPL-3.0-onl
#AGPL-3.0-only
AGPL 3.0 only,AGPL-3.0-only
#AGPL-3.0-or-late
#AGPL-3.0-or-later
AGPL 3.0 or later,AGPL-3.0-or-later,
AGPL3,AGPL-3.0-only
AGPL3+,AGPL-3.0-or-later
agpl-v3,AGPL-3.0-only
AGPL (v3),AGPL-3.0-only
AGPL (v3 or later),AGPL-3.0-or-later
Aladdin FPL v8,Aladdin
Aladdin Free Public License,Aladdin
Allegro 4 License,Giftware
Altera License,Xnet
ALv2,Apache-2.0
Amazon Digital Services License,ADSL
AMD PLPA License,AMDPLPA
AMD's plpa_map.c License,AMDPLPA
AMPAS BSD-Style License,AMPAS
ANTLR 2 License,ANTLR-PD
ANTLR Software Rights Notice,ANTLR-PD
Apache 1.0,Apache-1.0
Apache 1.1,Apache-1.1
#Apache-2.0
#Apache-2.0,
apache2.0,Apache-2.0
Apache 2.0,Apache-2.0,
Apache 2,Apache-2.0
