Scancode,SPDX-ID,DEPRECATE
#Apache-2.0
Apache 2.0,Apache-2.0
Apache 2,Apache-2.0
"The Apache Software License, Version 2.0",Apache-2.0
"Apache License, Version 2.0",Apache-2.0


#AGPL-3.0-onl
AGPL 3.0 only,AGPL-3.0-only
AGPL 3.0,AGPL-3.0-only
AGPL-3.0,AGPL-3.0-only

#AGPL-3.0-or-late
AGPL 3.0 or later,AGPL-3.0-or-later

#BSD-2-Claus
Simplified BSD License,BSD-2-Clause
BSD 2-Clause "Simplified" License,BSD-2-Clause

#BSD-2-Clause-Paten
BSD-2-Clause Plus Patent License,BSD-2-Clause-Patent
BSD 2 plus,BSD-2-Clause-Patent
BSD 2 PLUS,BSD-2-Clause-Patent

#BSD-3-Claus
BSD-3-Clause,BSD-3-Clause
BSD License (3 clause),BSD-3-Clause
BSD License 3 clause,BSD-3-Clause
The New BSD License,BSD-3-Clause
New BSD License,BSD-3-Clause
# not completely sure about this - is not present in SPDX lis
Modified BSD License,BSD-3-Clause

#CDDL-1.
"CDDL, v1.0",CDDL-1.0
"CDDL v1.0",CDDL-1.0

#EPL-1.
"Eclipse Public License, Version 1.0",EPL-1.0
"Eclipse Public License Version 1.0",EPL-1.0
EPL 1.0,EPL-1.0

#EPL-2.
"Eclipse Public License, Version 2.0",EPL-2.0
"Eclipse Public License Version 2.0",EPL-2.0
EPL 2.0,EPL-2.0


#GPL-2.0-onl
GPL 2,GPL-2.0-only
GPL 2.0,GPL-2.0-only
GNU General Public License Version 2,GPL-2.0-only

#GPL-2.0-or-late
GPL 2.0 or later,GPL-2.0-or-later

#GPL-2.0-with-classpath-exceptio
#doubt on this - shouldn't be written or later, because or later doesn't exist within SPDX lis
Classpath exception to GPL 2.0 or later,GPL-2.0-with-classpath-exception,Yes - https://spdx.org/licenses/GPL-2.0-with-classpath-exception.htm
Classpath exception to GPL 2.0,GPL-2.0-with-classpath-exception,Yes - https://spdx.org/licenses/GPL-2.0-with-classpath-exception.htm

#GPL-3.0-only
GPL 3,GPL-3.0-only
GPL 3.0,GPL-3.0-only
"GNU General Public License Version 3.0",GPL-3.0-only
"GNU General Public License, Version 3.0",GPL-3.0-only
GPL 3.0 only,GPL-3.0-only
GPL 3.0 or later,GPL-3.0-or-later

#LGPL-2.1-only
LGPL 2.1,LGPL-2.1-only
"GNU Lesser General Public License Version 2.1",LGPL-2.1-only
GNU Library or Lesser General Public License (LGPL) V2.1,LGPL-2.1-onl
LGPL v2.1,LGPL-2.1-only

#LGPL-2.1-or-later
#?
"LGPL, v2.1 or later",LGPL-2.1-or-later
"LGPL v2.1 or later",LGPL-2.1-or-later

#LGPL 3,LGPL-3.0-only
"GNU Lesser General Public License Version 3",LGPL-3.0-only
"GNU Lesser General Public License, Version 3",LGPL-3.0-only


#LGPL-3.0-or-late
LGPL 3.0 or later,LGPL-3.0-or-later
"GNU Lesser General Public License, Version 3 or later",LGPL-3.0-or-later

#MI
MIT License,MIT
Expat License,MIT
Expat,MIT
MIT Licensed,MIT
The MIT License,MIT
The MIT License(MIT),MIT


#MPL-1.
Mozilla Public License 1.1 (MPL 1.1),MPL-1.1
MPL 1.1,MPL-1.1

#MPL-2.
MPL 2.0,MPL-2.0
"Mozilla Public License Version 2.0",MPL-2.0
"Mozilla Public License, Version 2.0",MPL-2.0
MPL2,MPL-2.0
Mozilla Public License 2,MPL-2.0
Mozilla Public License 2.0,MPL-2.0
GPL 2.0 only,GPL-2.0-only
