alabaster==0.7.10, detected pypi license: None
Babel==2.5.3, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
backports.shutil-get-terminal-size==1.0.0, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
buzio==1.0.1, detected pypi license:,possible SPDX id:, SPDX conversion NOT happened.
certifi==2018.1.18, detected pypi license:MPL-2.0,possible SPDX id:MPL-2.0, SPDX conversion happened.
chardet==3.0.4, detected pypi license:LGPL,possible SPDX id:LGPL, SPDX conversion NOT happened.
colorama==0.3.9, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
CommonMark==0.5.4, detected pypi license:BSD License,possible SPDX id:BSD License, SPDX conversion NOT happened.
configparser==3.5.0, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
contextlib2==0.5.5, detected pypi license:PSF License,possible SPDX id:PSF License, SPDX conversion NOT happened.
coverage==4.0.3, detected pypi license:Apache 2.0,possible SPDX id:Apache-2.0, SPDX conversion happened.
decorator==4.2.1, detected pypi license:new BSD License,possible SPDX id:new BSD License, SPDX conversion NOT happened.
docopt==0.6.2, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
docutils==0.14, detected pypi license:public domain, Python, 2-Clause BSD, GPL 3 (see COPYING.txt),possible SPDX id:GPL-3.0-or-later, SPDX conversion happened.
enum34==1.1.6, detected pypi license:BSD License,possible SPDX id:BSD License, SPDX conversion NOT happened.
funcsigs==1.0.2, detected pypi license:ASL,possible SPDX id:ASL, SPDX conversion NOT happened.
idna==2.6, detected pypi license:BSD-like,possible SPDX id:BSD-like, SPDX conversion NOT happened.
imagesize==0.7.1, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
ipdb==0.10.3, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
ipdbplugin==1.5.0, detected pypi license:GNU LGPL,possible SPDX id:GNU LGPL, SPDX conversion NOT happened.
ipython==5.5.0, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
ipython-genutils==0.2.0, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
Jinja2==2.10, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
MarkupSafe==1.0, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
mock==2.0.0, detected pypi license:UNKNOWN,possible SPDX id:UNKNOWN, SPDX conversion NOT happened.
nose==1.3.7, detected pypi license:GNU LGPL,possible SPDX id:GNU LGPL, SPDX conversion NOT happened.
pathlib2==2.3.0, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
pbr==3.1.1, detected pypi license:,possible SPDX id:, SPDX conversion NOT happened.
pexpect==4.3.1, detected pypi license:ISC license,possible SPDX id:ISC, SPDX conversion happened.
pickleshare==0.7.4, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
prompt-toolkit==1.0.15, detected pypi license:,possible SPDX id:, SPDX conversion NOT happened.
ptyprocess==0.5.2, detected pypi license:,possible SPDX id:, SPDX conversion NOT happened.
pycodestyle==2.3.1, detected pypi license:Expat license,possible SPDX id:Expat license, SPDX conversion NOT happened.
pydocstyle==2.1.1, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
Pygments==2.2.0, detected pypi license:BSD License,possible SPDX id:BSD License, SPDX conversion NOT happened.
python-coveralls==2.9.1, detected pypi license:Apache License 2.0,possible SPDX id:Apache-2.0, SPDX conversion happened.
pytz==2017.3, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
PyYAML==3.12, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
raven==6.5.0, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
recommonmark==0.4.0, detected pypi license:,possible SPDX id:, SPDX conversion NOT happened.
requests==2.18.4, detected pypi license:Apache 2.0,possible SPDX id:Apache-2.0, SPDX conversion happened.
scandir==1.6, detected pypi license:New BSD License,possible SPDX id:BSD-3-Clause, SPDX conversion happened.
simplegeneric==0.8.1, detected pypi license:ZPL 2.1,possible SPDX id:ZPL-2.1, SPDX conversion happened.
six==1.11.0, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
snowballstemmer==1.2.1, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
Sphinx==1.6.6, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
sphinx-rtd-theme==0.2.4, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
sphinxcontrib-websupport==1.0.1, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
traitlets==4.3.2, detected pypi license:BSD,possible SPDX id:BSD, SPDX conversion NOT happened.
typing==3.6.4, detected pypi license:PSF,possible SPDX id:PSF, SPDX conversion NOT happened.
Unidecode==1.0.22, detected pypi license:GPL,possible SPDX id:GPL, SPDX conversion NOT happened.
urllib3==1.22, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
wcwidth==0.1.7, detected pypi license:MIT,possible SPDX id:MIT, SPDX conversion happened.
