GNU LGPL
UNKNOWN

nose==1.3.1, detected pypi license:GNU LGPL
South==0.7, detected pypi license:UNKNOWN
click==6.7, detected pypi license:
sh==1.12.13, detected pypi license:MIT
matplotlib==3.0.2, detected pypi license:BSD
numpy==1.16.1, detected pypi license:BSD
alabaster==0.7.10, detected pypi license:None
Babel==2.5.3, detected pypi license:BSD
backports.shutil-get-terminal-size==1.0.0, detected pypi license:MIT
buzio==1.0.1, detected pypi license:
certifi==2018.1.18, detected pypi license:MPL-2.0
chardet==3.0.4, detected pypi license:LGPL
colorama==0.3.9, detected pypi license:BSD
CommonMark==0.5.4, detected pypi license:BSD License
configparser==3.5.0, detected pypi license:MIT
contextlib2==0.5.5, detected pypi license:PSF License
coverage==4.0.3, detected pypi license:Apache 2.0
decorator==4.2.1, detected pypi license:new BSD License
docopt==0.6.2, detected pypi license:MIT
docutils==0.14, detected pypi license:public domain, Python, 2-Clause BSD, GPL 3 (see COPYING.txt)
enum34==1.1.6, detected pypi license:BSD License
funcsigs==1.0.2, detected pypi license:ASL
idna==2.6, detected pypi license:BSD-like
imagesize==0.7.1, detected pypi license:MIT
ipdb==0.10.3, detected pypi license:BSD
ipdbplugin==1.5.0, detected pypi license:GNU LGPL
ipython==5.5.0, detected pypi license:BSD
ipython-genutils==0.2.0, detected pypi license:BSD
Jinja2==2.10, detected pypi license:BSD
MarkupSafe==1.0, detected pypi license:BSD
mock==2.0.0, detected pypi license:UNKNOWN
nose==1.3.7, detected pypi license:GNU LGPL
pathlib2==2.3.0, detected pypi license:MIT
pbr==3.1.1, detected pypi license:
pexpect==4.3.1, detected pypi license:ISC license
pickleshare==0.7.4, detected pypi license:MIT
prompt-toolkit==1.0.15, detected pypi license:
ptyprocess==0.5.2, detected pypi license:
pycodestyle==2.3.1, detected pypi license:Expat license
pydocstyle==2.1.1, detected pypi license:MIT
Pygments==2.2.0, detected pypi license:BSD License
python-coveralls==2.9.1, detected pypi license:Apache License 2.0
pytz==2017.3, detected pypi license:MIT
PyYAML==3.12, detected pypi license:MIT
raven==6.5.0, detected pypi license:BSD
recommonmark==0.4.0, detected pypi license:
requests==2.18.4, detected pypi license:Apache 2.0
scandir==1.6, detected pypi license:New BSD License
simplegeneric==0.8.1, detected pypi license:ZPL 2.1
six==1.11.0, detected pypi license:MIT
snowballstemmer==1.2.1, detected pypi license:BSD
Sphinx==1.6.6, detected pypi license:BSD
sphinx-rtd-theme==0.2.4, detected pypi license:MIT
sphinxcontrib-websupport==1.0.1, detected pypi license:BSD
traitlets==4.3.2, detected pypi license:BSD
typing==3.6.4, detected pypi license:PSF
Unidecode==1.0.22, detected pypi license:GPL
urllib3==1.22, detected pypi license:MIT
wcwidth==0.1.7, detected pypi license:MIT
